_id,dateCreated,numberOfLikes,sourceOfTweet,tweetContent,_class
20000,2022-11-20 23:59:21+00:00,4,Twitter Web App,"What are we drinking today @TucanTribe 
@MadBears_ 
@lkinc_algo 
@al_goanna 

#WorldCup2022 https://t.co/Oga3TzvG5h",io.bootify.twitter_data_base.domain.Tweet
20001,2022-11-20 23:59:01+00:00,3,Twitter for iPhone,"Amazing @CanadaSoccerEN  #WorldCup2022 launch video. Shows how much the face of Canada and our men’s national team have changed since our last World Cup entry in 1986.  Can’t wait to see these boys in action!

This is Canada: FIFA World Cup Opening Video https://t.co/7g73vvwtg8",io.bootify.twitter_data_base.domain.Tweet
20002,2022-11-20 23:58:41+00:00,1,Twitter for iPhone,Worth reading while watching #WorldCup2022 https://t.co/1SQrNa2dYU,io.bootify.twitter_data_base.domain.Tweet
20003,2022-11-20 23:58:33+00:00,1,Twitter Web App,"Golden Maknae shinning bright

https://t.co/4AyZbzGTX4
#JeonJungkook #Jungkook #전정국 #정국 #JK #GoldenMaknae #bunny #Kookie #Jungshook #BTS #방탄소년단 #WorldCup2022 #FIFAKOOK 
@BTS_twt",io.bootify.twitter_data_base.domain.Tweet
20004,2022-11-20 23:58:28+00:00,0,Twitter for Android,"If the BBC cares so much about human rights, homosexual rights, and women rights then why not say these before the opening ceremony?? Why are they saying these during the opening ceremony?? Why did the BBC censor the #WorldCup2022 opening ceremony?? https://t.co/f72P03ZN2k",io.bootify.twitter_data_base.domain.Tweet
20005,2022-11-20 23:57:32+00:00,0,Twitter for Android,"And like, will the mexican fans be able to scream ""PUTO"" now? Or is that too homophobic for qatar? @FIFAWorldCup #WorldCup2022",io.bootify.twitter_data_base.domain.Tweet
20006,2022-11-20 23:57:06+00:00,0,Twitter for Android,Look like a only me and the Jamaican football team naw follow up worldcup #WorldCup2022,io.bootify.twitter_data_base.domain.Tweet
20007,2022-11-20 23:57:05+00:00,0,Twitter for Android,"Really? Football on a Monday morning at 9 and 12 and then 3? I need to pinch myself. Is it really happening? 
#WorldCup2022",io.bootify.twitter_data_base.domain.Tweet
20008,2022-11-20 23:56:10+00:00,1,Twitter for iPhone,"As the World Cup starts in Qatar, it’s Black Awareness Day in Brazil✊🏽. Despite the atrocities linked to this year’s host and to Fifa, soccer is so fundamental for lower classes, mostly Black and Brown, as Vini Jr identifies #WorldCup2022 #diadaconsciencianegra #CopaDoMundo2022 https://t.co/8mI9UqNWX7",io.bootify.twitter_data_base.domain.Tweet
20009,2022-11-20 23:56:08+00:00,0,Twitter for iPhone,#WorldCup2022 @ITVSport &amp; @LFSYSTEMMUSIC go together so well ‘Hungry For Your Love’🫶 ⚽️👌,io.bootify.twitter_data_base.domain.Tweet
20010,2022-11-20 23:56:05+00:00,1,Twitter for iPhone,"#Qatar tried to help its useless soccer team 5 minutes into the inaugural game, by denying an undoubtedly perfectly good goal to #Ecuador @ #WorldCup2022 

This world cup host is a #FAIL https://t.co/Y2YwlQQwFE",io.bootify.twitter_data_base.domain.Tweet
20011,2022-11-20 23:54:44+00:00,0,Twitter for iPhone,"What a happy night @socios @Socios_Turkiye 
#CHZ $PFL #socios #WorldCup2022 https://t.co/1sDsWvrztU",io.bootify.twitter_data_base.domain.Tweet
20012,2022-11-20 23:54:31+00:00,0,Twitter for iPhone,Let’s go #TeamUSA 🇺🇸🇺🇸🇺🇸#WorldCup2022,io.bootify.twitter_data_base.domain.Tweet
20013,2022-11-20 23:54:12+00:00,5,Twitter for iPhone,Tyler Adams will have a CAPTAIN moment this #WorldCup2022. A moment that he puts #USMNT on his back… and hits a banger that makes him a household name. Bookmark it bitches.,io.bootify.twitter_data_base.domain.Tweet
20014,2022-11-20 23:53:52+00:00,0,Twitter Web App,"This is a good and promising project.should all look forward to the success of this project❤

@Sunita266
@SashikantaPatt9
@naresh661302

#TopGoal #BNBChain #WorldCup2022 https://t.co/BwAhRxRkBb",io.bootify.twitter_data_base.domain.Tweet
20015,2022-11-20 23:53:44+00:00,1,Twitter for iPhone,What is your World Cup prediction? We have 🇩🇪 über 🇧🇪 in the Final. #GER #BEL #WorldCup2022,io.bootify.twitter_data_base.domain.Tweet
20016,2022-11-20 23:53:27+00:00,0,IFTTT,"RT @Quicktake Qatari officials are set to ban the sale of alcohol within #WorldCup2022 stadiums, dramatically reversing a decision to allow sales of Budweiser beer.

@SimoneFoxman has the latest https://t.co/3iyP1Tj98S https://t.co/Dx2naRMhFm",io.bootify.twitter_data_base.domain.Tweet
20017,2022-11-20 23:53:13+00:00,2,Twitter Web App,"Nicki Minaj, Maluma &amp; Myriam unite for #WorldCup2022 anthem #TukohTaka. https://t.co/K9pC8Hcada",io.bootify.twitter_data_base.domain.Tweet
20018,2022-11-20 23:53:09+00:00,1,Twitter for Android,"Ready for Day 2 ✌🏻
#QatarWorldCup2022 
#WorldCup2022 
#NED https://t.co/NVYnSIWlZq",io.bootify.twitter_data_base.domain.Tweet
20019,2022-11-20 23:52:54+00:00,0,Twitter Web App,@ALosersLament @Majstar7 @piersmorgan racist uncultured inbreed fool you prove to be. just saying #WorldCup2022,io.bootify.twitter_data_base.domain.Tweet
20020,2022-11-20 23:52:28+00:00,0,Twitter for iPhone,"Hey @AlphonsoDavies how’s the hamstring? 

#CanadaSoccer #WorldCup2022 #FIFAWorldCup2022 #Davies",io.bootify.twitter_data_base.domain.Tweet
20021,2022-11-20 23:51:54+00:00,1,Twitter Web App,@realDonaldTrump @DonaldJTrumpJr  both can suck my dick! #RT #LaurenBoebert #WorldCup2022 #ukrainecounteroffensive https://t.co/qVRtGje0DI,io.bootify.twitter_data_base.domain.Tweet
20022,2022-11-20 23:51:15+00:00,252,Twitter for Mac,"SBS drama &lt;#CheerUp&gt; reportedly to cancel the broadcast on 11/21, 11/22 and 11/28 due to #WorldCup2022, the episode 12 will air on 11/29.

#BaeInHyuk #HanJiHyun #KimHyunJin #JangGyuRi #LeeEunSaem https://t.co/43z8pxcAPX",io.bootify.twitter_data_base.domain.Tweet
20023,2022-11-20 23:50:26+00:00,7,Twitter Web App,Cameroon✅ @FecafootOfficie #WorldCup2022 https://t.co/BvkxIlZRlG,io.bootify.twitter_data_base.domain.Tweet
20024,2022-11-20 23:50:22+00:00,0,Twitter for Android,"Exciting things are happening at #Sporten headquarters🎉🎈🎊. 

Don’t miss the opportunity and see you at the #WorldCup2022  ⚽️!!!!

#FIFAWorldCupQatar2022 #QatarWorldCup2022 #Airdrop $BALL https://t.co/kRkOd93baJ",io.bootify.twitter_data_base.domain.Tweet
20025,2022-11-20 23:50:20+00:00,5,Twitter for iPhone,"JUNGKOOK 
at the opening ceremony 
of the World Cup
#bts #btsarmy #jungkook #worldcup #worldcup2022 #bts_army #fifaworldcup #qatar2022 #qatar #football #soccer #w杯 #ジョングク #グク  #taehyung #ワールドカップ #カタールw杯 #カタール #qatar🇶🇦 #worldcup2018 #fyp #fypシ https://t.co/MeeUVxRKiZ",io.bootify.twitter_data_base.domain.Tweet
20026,2022-11-20 23:50:13+00:00,1,Twitter Web App,"Italy Vs France.
Much better than watching #WorldCup2022 https://t.co/tCjx3TnL8n",io.bootify.twitter_data_base.domain.Tweet
20027,2022-11-20 23:49:47+00:00,2,Twitter Web App,Well that was fun. When you never qualify on your own and FIFA just gifts it to you for your oil money you get a taste of reality real quick. #WorldCup #WorldCup2022 #QatarvsEcuador,io.bootify.twitter_data_base.domain.Tweet
20028,2022-11-20 23:49:46+00:00,0,Twitter Web App,"Diversity, passion, incredible support- these are our beauty and strength! Love this, and I can't wait to cheer for my boys tomorrow! 

I Believe! COME ON YOU YANKS!!! 🔥🇺🇸⚽️

#USMNT #WorldCup2022 https://t.co/x4NHKKmkwT",io.bootify.twitter_data_base.domain.Tweet
20029,2022-11-20 23:49:11+00:00,0,Twitter for iPhone,We do not need hypocritical medias with double standards #WorldCup2022,io.bootify.twitter_data_base.domain.Tweet
20030,2022-11-20 23:49:02+00:00,1,Twitter for iPhone,Let’s direct the same passion we pour into #WorldCup2022 toward #NetZero #BanFossilFuel #ClimateCrisis so our children can still live on this planet! https://t.co/XPbpktVc4u,io.bootify.twitter_data_base.domain.Tweet
20031,2022-11-20 23:48:50+00:00,1,Twitter for iPhone,"While in the waiting room at Urgent Care, a woman saw my Liverpool shirt, we ended up having a chat about #LFC, Mo Salah, #WorldCup2022, Leo Messi. 
It was quite nice 😊 https://t.co/dYbIFSkDP0",io.bootify.twitter_data_base.domain.Tweet
20032,2022-11-20 23:48:47+00:00,0,Twitter Web App,What happened in Turkish football today?#TurkishNationalTeam #CuneytCakir #WorldCup2022 https://t.co/2ctXYjpWMK https://t.co/e5gmUqf6sn,io.bootify.twitter_data_base.domain.Tweet
20033,2022-11-20 23:48:03+00:00,7,Twitter for iPhone,"🎸 Myself and @MeiEms 
📍@TyPawb, Wrecsam
📅 29/11/22
🕰 5pm onwards

Come and join us for the build up to @Cymru vs @England in the World Cup.

(commentary in Welsh)

#WorldCup #WorldCup2022 https://t.co/kSL4yvghkh",io.bootify.twitter_data_base.domain.Tweet
20034,2022-11-20 23:47:25+00:00,0,Twitter Web App,#WorldCup2022 Let's go!! @Cristiano,io.bootify.twitter_data_base.domain.Tweet
20035,2022-11-20 23:47:16+00:00,8,Twitter Web App,England ✅ @England #WorldCup2022 https://t.co/Zy3uPDRfWI,io.bootify.twitter_data_base.domain.Tweet
20036,2022-11-20 23:46:51+00:00,1,Twitter for Android,"If the BBC cares so much about human rights, gay rights, and women rights then why not say these before the opening ceremony?? Why are they saying these during the opening ceremony?? Why did the BBC censor the #WorldCup2022 opening ceremony?? https://t.co/GmjpUEetmJ",io.bootify.twitter_data_base.domain.Tweet
20037,2022-11-20 23:46:32+00:00,0,Twitter Web App,The frist goal in the #worldcup2022 #QatarWorldCup2022 #Qatar2022 #Qatar #worldcup #Ecuador #edit #fyp #video #viral #ahmed_abdo https://t.co/T2TmsILt5m,io.bootify.twitter_data_base.domain.Tweet
20038,2022-11-20 23:46:30+00:00,0,Twitter Web App,"With your looks, you couldn't even get with a football player in the 4th division 

#QatarWorldCup2022 #Soccer #Football #WorldCup2022",io.bootify.twitter_data_base.domain.Tweet
20039,2022-11-20 23:46:17+00:00,4,Twitter for iPhone,Good evening from Qatar #WorldCup2022 https://t.co/VZuzMKEbbw,io.bootify.twitter_data_base.domain.Tweet
20040,2022-11-20 23:45:53+00:00,1,Twitter for iPhone,Fans across the Middle East celebrate historic World Cup moment #Gaza #Qatar2022 #WorldCup2022  https://t.co/aWPFmbsOrj,io.bootify.twitter_data_base.domain.Tweet
20041,2022-11-20 23:45:33+00:00,0,Twitter for Android,"Get A+ grades by letting us handle your assignments
We are committed to ensure we deliver quality, original work and within the stipulated time
#Assignmentdue
#Essaysdue
#englandsquad
#WorldCup2022
#EcuadorvsQatar",io.bootify.twitter_data_base.domain.Tweet
20042,2022-11-20 23:45:15+00:00,0,Twitter for Android,Yes we can 🇨🇦 #WorldCup2022,io.bootify.twitter_data_base.domain.Tweet
20043,2022-11-20 23:43:53+00:00,0,Twitter Web App,seems fine right? https://t.co/CvLuA1dW5X #WorldCup2022  #TheHobby,io.bootify.twitter_data_base.domain.Tweet
20044,2022-11-20 23:43:50+00:00,0,Twitter for iPhone,Who are you rooting for this year in the #WorldCup2022 ? #England,io.bootify.twitter_data_base.domain.Tweet
20045,2022-11-20 23:43:29+00:00,2,Twitter for iPhone,USA v Wales tomorrow. A must win? #WorldCup2022,io.bootify.twitter_data_base.domain.Tweet
20046,2022-11-20 23:42:49+00:00,1,TweetDeck,World Cup 2022: Ecuador defeats Qatar 2-0. #WorldCup #WorldCup2022 https://t.co/gZuTLPP2es,io.bootify.twitter_data_base.domain.Tweet
20047,2022-11-20 23:42:45+00:00,0,Twitter for iPhone,"@MEXC_Global World Cup + England
#MEXCWorldCup01 #WorldCup2022",io.bootify.twitter_data_base.domain.Tweet
20048,2022-11-20 23:42:41+00:00,0,Twitter for iPhone,Will not boycott watching a few chosen games. The World Cup is still a spectacle but FIFA got it so badly wrong this year #FIFAWorldCup2022 #WorldCup2022,io.bootify.twitter_data_base.domain.Tweet
20049,2022-11-20 23:42:40+00:00,3,Twitter for iPhone,"Group F of the NFT #WorldCup where the fate of a real team decides who is the ultimate NFT community includes:
@DeGodsNFT 
@MeebitsNFTs 
@DegenApeAcademy 
@okaybears 

Which #NFTCommunity will win #worldcup2022 ?

Join our discord to talk more: https://t.co/fxRDTkUadl https://t.co/lxP4e404wu",io.bootify.twitter_data_base.domain.Tweet
20050,2022-11-20 23:42:25+00:00,25,Twitter for iPhone,"Viva Ecuador! 🇪🇨 We were ready! So exciting to be in the opening game and to win it! #WorldCup2022
Now we need USA 🇺🇸 to win Monday! https://t.co/T0r2RDbPU9",io.bootify.twitter_data_base.domain.Tweet
20051,2022-11-20 23:42:17+00:00,3,Twitter Web App,Video: #PresidentBiden wishes #USMNT good luck https://t.co/Kfb9OObjf3 #WorldCup #WorldCup2022 #Qatar2022 #Qatar,io.bootify.twitter_data_base.domain.Tweet
20052,2022-11-20 23:41:57+00:00,0,Twitter for Android,"Equally amazing💪💜😊

#WorldCup 
#WorldCup2022 
#JUNGKOOKxFIFA 
#JungkookAtFIFAWorldCup 
@BTS_twt https://t.co/IzsLMV4Ct0",io.bootify.twitter_data_base.domain.Tweet
20053,2022-11-20 23:41:26+00:00,0,Twitter for iPhone,@ARmastrangelo @Cernovich He’s being ridiculous. No excuse for #QatarWorldCup2022 #MiddleEast should’ve never hosted. #WorldCup2022,io.bootify.twitter_data_base.domain.Tweet
20054,2022-11-20 23:41:20+00:00,6,Twitter Web App,"MUST WATCH: English lads tell incredible story about partying at the Sheikh’s son’s house with exotic animals while on the hunt for beers in Qatar 😂

#WorldCup | #WorldCup2022 
https://t.co/4WS13KNxPO",io.bootify.twitter_data_base.domain.Tweet
20055,2022-11-20 23:41:12+00:00,1,Twitter for Android,@elonmusk Maybe @realDonaldTrump is just letting Twitter survive the #WorldCup2022 before the real stress test.,io.bootify.twitter_data_base.domain.Tweet
20056,2022-11-20 23:40:47+00:00,0,Twitter for Android,"if u look for the truth about something go to there sources not  sources of there enemy or at least two of them not like what western media shows 
#hypocrisy 
#WorldCup2022 #Qatar2022 #QatarWorldCup2022 
#West #HumanRightsViolations",io.bootify.twitter_data_base.domain.Tweet
20057,2022-11-20 23:40:14+00:00,1,Twitter for Android,"No matter what will be #England and #iran #WorldCup2022  outcome , the things is football stand here as a fair game and to see how world react to iran situtaion! and sending message around the world for young poeple in particular to see that inclucivity is very important",io.bootify.twitter_data_base.domain.Tweet
20058,2022-11-20 23:39:24+00:00,0,Twitter Web App,Hey @MarinaMarraco Can you feel the intensity of #WorldCup2022 in here? Are the @WashWizards having a good time at @CapitalOneArena?,io.bootify.twitter_data_base.domain.Tweet
20059,2022-11-20 23:39:07+00:00,3,Twitter for iPhone,This is my #usmntxi - let’s go ⁦@USMNT⁩ #USA #Qatar2022 #worldcup2022 https://t.co/8PJAAwPWep,io.bootify.twitter_data_base.domain.Tweet
20060,2022-11-20 23:39:03+00:00,0,Twitter Web App,https://t.co/Hl7BxTYlh3 Fifa World cup day one- Qatar 0 - Ecuador 2 #WorldCup2022  #FIFAWorldCup2022  #Qatar2022  #EcuadorvsQatar  #CR7𓃵,io.bootify.twitter_data_base.domain.Tweet
20061,2022-11-20 23:39:00+00:00,2,Twitter for iPhone,"We’re open early at 12 on Monday for the England vs Iran game
#WorldCup2022 #FIFAWorldCup2022   #notfifabychoice https://t.co/AcMIZFCali",io.bootify.twitter_data_base.domain.Tweet
20062,2022-11-20 23:38:56+00:00,37,TweetDeck,"During the #WorldCup2022 please take just a moment on #WorldChildrensDay to consider how the other half lives, or more appropriately...  dies.    Every child deserves a fair shot at life with the necessary food, shelter, clothing and education to succeed. https://t.co/DuHaDu0y9k",io.bootify.twitter_data_base.domain.Tweet
20063,2022-11-20 23:38:45+00:00,0,Twitter Web App,#WorldCup2022  Cup 2022: How to watch the matches online and on TV - NPR - https://t.co/nWrLmJH82M #GoogleAlerts,io.bootify.twitter_data_base.domain.Tweet
20064,2022-11-20 23:37:40+00:00,0,Twitter for Android,"Thank you for all 💜
#WorldCup 
#WorldCup2022 
#JUNGKOOKxFIFA 
#JungkookAtFIFAWorldCup https://t.co/NqPB3W4kAN",io.bootify.twitter_data_base.domain.Tweet
20065,2022-11-20 23:37:32+00:00,1,Twitter for iPhone,"This celebration is breaking controllers in Fifa 🔥
Best world cup opening ever!! 
#SouthAfrica2010 #Qatar2022 #WorldCup2022 https://t.co/3kduwSuhfT",io.bootify.twitter_data_base.domain.Tweet
20066,2022-11-20 23:36:58+00:00,0,Twitter for Android,"The #WorldCup2022 being held during the winter is strange, but it's helping me cope with @AustinFC withdrawals.",io.bootify.twitter_data_base.domain.Tweet
20067,2022-11-20 23:36:55+00:00,1,Twitter for iPhone,#WorldCup2022 Just begun❣️⚽️😍 https://t.co/ssNagiAx3m,io.bootify.twitter_data_base.domain.Tweet
20068,2022-11-20 23:36:42+00:00,7,Twitter for iPhone,"$og OG Fan Token is oficially the coin with less market cap listed on binance ( less than 5M ) lWhales are very welcome 

#BTC #BUSD #ETH #WorldCup2022",io.bootify.twitter_data_base.domain.Tweet
20069,2022-11-20 23:36:37+00:00,0,Twitter for iPhone,The real champions! #IranRevoIution #FIFA #WorldCup2022 #ChildrensDay #Fifa22 #FIFAWorldCup #FIFAWorldCup2022 https://t.co/uKZIYkdiM2,io.bootify.twitter_data_base.domain.Tweet
20070,2022-11-20 23:36:29+00:00,0,Twitter Web App,#WorldCup2022 one thing I learned yesterday is 90% of the so called Football fans  are oblivious to the Offside rule 🤦🏾‍♂️,io.bootify.twitter_data_base.domain.Tweet
20071,2022-11-20 23:36:12+00:00,0,Twitter Web App,"Ian Wright: ""I'd take the fine for that [wearing the armband]"".

And a yellow card, Ian?

Nah. Lol.

#ITVFootball #WorldCup #WorldCup2022",io.bootify.twitter_data_base.domain.Tweet
20072,2022-11-20 23:34:48+00:00,0,Twitter Web App,@TSN_Sports Will those of us in Canada who can't watch #WorldCup2022 games live be able to access them on demand through TSN?,io.bootify.twitter_data_base.domain.Tweet
20073,2022-11-20 23:33:51+00:00,0,Twitter for iPhone,Wear the band @HKane 🥰 #WorldCup2022,io.bootify.twitter_data_base.domain.Tweet
20074,2022-11-20 23:33:02+00:00,1,Twitter for Android,"@England @wembleystadium Come on England ♥️♥️♥️♥️♥️♥️♥️
Bring it home 🙌 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿 #FIFAWorldCup #WorldCup2022 #QatarWorldCup2022 #ThreeLions #England",io.bootify.twitter_data_base.domain.Tweet
20075,2022-11-20 23:32:37+00:00,0,Twitter for Android,"😬😬  Qatar spent all their money on building the stadium/infrastructure for #WorldCup2022 etc, but forgot about investing some $$ in to the football/the team itself
😂😂
Ecuador 2-0 Qatar 

#EcuadorvsQatar
#FIFAWorldCup https://t.co/Q2bIf84jkG",io.bootify.twitter_data_base.domain.Tweet
20076,2022-11-20 23:32:07+00:00,0,Twitter Web App,Journey of the Soul by Sam Oputa https://t.co/dKswQq4v9C … … via @amazon #tuesdaymotivations #Tuzak #SIGUEME #SiguemeYTeSigo #TuesdayFeeling #pastlives #pastlife #AfterLife #SaturdayMorning #tuesdayvibe #TheErasTour #SaturdayVibes #WorldCup2022 #Reincarnation #Soul #Artsuki,io.bootify.twitter_data_base.domain.Tweet
20077,2022-11-20 23:31:57+00:00,0,Twitter Web App,I'm in on the Gaffer's #WorldCup2022 Sweepstakes where supporting an underdog is a winning strategy! ⚽ From @MartianPLeague #GaffersUnderdogs https://t.co/G61jlvnKYT,io.bootify.twitter_data_base.domain.Tweet
20078,2022-11-20 23:31:12+00:00,17,Twitter for iPhone,"I’m impressed that #WeGoTakeThatCup &amp; #TeamCameroon  is trending.. Cameroon 🇨🇲 certainly knows how to make an entrance. 
Y’all i introduce Cameroon to the world.✊🏾
#WorldCup2022 #Qatar2022 #FIFAWorldCup2022 https://t.co/O4kv6ROvsl",io.bootify.twitter_data_base.domain.Tweet
20079,2022-11-20 23:31:10+00:00,1,Twitter Web App,@TSN_Sports I want a refund for my subscription since no one supported me in watching the World Cup today as i am a subscriber and cannot watch as I was promised !!! #TSNDirect  #WorldCup2022,io.bootify.twitter_data_base.domain.Tweet
20080,2022-11-20 23:31:10+00:00,3,Twitter for iPhone,"@Juezcentral: The history of Hernán Galindez, goalie of Ecuador | 🧵 

“Hernan Galindez was born in Rosario, Argentina. He is 35 years old and is from the same generation of Lionel Messi and Angel Di Maria (both born in 1987 &amp; 1988 respectively)…”

#WorldCup2022 https://t.co/UtKEZlf4lx",io.bootify.twitter_data_base.domain.Tweet
20081,2022-11-20 23:31:02+00:00,0,Twitter Web App,"Curating a list of some of the best football (soccer, if you are reading in the US) journalists around the world.

https://t.co/S9fv2SSjdw

This is FAR from comprehensive and looking at you for suggestions for other writers (in English) please. Will keep adding.

#WorldCup2022",io.bootify.twitter_data_base.domain.Tweet
20082,2022-11-20 23:30:49+00:00,2,Twitter for Android,"The #WorldCup2022 in Qatar is obviously a disgrace, but we shouldn't forget that the previous edition was held in Russia.",io.bootify.twitter_data_base.domain.Tweet
20083,2022-11-20 23:30:06+00:00,0,Salesforce - Social Studio,"Good luck to the U.S. men's national soccer team today as they kick off the 2022 #WorldCup against Wales!

#worldcup2022 #emergencyservice #water #mold #fire #hazardcleaning #waterdamage #disastercleanup #commercial #residential #construction #restoration #ordorremoval #SERVPRO https://t.co/XrJmzT8Bt8",io.bootify.twitter_data_base.domain.Tweet
20084,2022-11-20 23:30:06+00:00,0,Salesforce - Social Studio,"Good luck to the U.S. men's national soccer team today as they kick off the 2022 #WorldCup against Wales!

#worldcup2022 #emergencyservice #water #mold #fire #hazardcleaning #waterdamage #disastercleanup #commercial #residential #construction #restoration #ordorremoval #SERVPRO https://t.co/Bt2Pb3Zza4",io.bootify.twitter_data_base.domain.Tweet
20085,2022-11-20 23:30:06+00:00,0,Salesforce - Social Studio,"Good luck to the U.S. men's national soccer team today as they kick off the 2022 #WorldCup against Wales!

#worldcup2022 #emergencyservice #water #mold #fire #hazardcleaning #waterdamage #disastercleanup #commercial #residential #construction #restoration #ordorremoval #SERVPRO https://t.co/JduYly6wur",io.bootify.twitter_data_base.domain.Tweet
20086,2022-11-20 23:29:54+00:00,6,Twitter for Android,The golden maknae killing the world cup stage. 🔥💜#BTSJUNGKOOK #WorldCup2022 #QatarWorldCup2022 https://t.co/44hbVKMT84,io.bootify.twitter_data_base.domain.Tweet
20087,2022-11-20 23:29:43+00:00,1,Twitter for Android,"Up next to the #netherlands  vs  #senegal  for their first game of #WorldCup2022 🇶🇦

#WorldCup2022
#FIFAWorldCup2022 
#WorldCup
#Qatar2022 https://t.co/ZcKEKKHSQG",io.bootify.twitter_data_base.domain.Tweet
20088,2022-11-20 23:29:20+00:00,0,Twitter for iPhone,"See #كأس_العالم_قطر_2022 
İslam #WorldCup2022 
#ennervalencia𓃵 https://t.co/AOfMKxqZSc",io.bootify.twitter_data_base.domain.Tweet
20089,2022-11-20 23:29:17+00:00,2,Twitter for iPhone,Can’t wait! So excited so proud.. the world is in for a surprise #GoCanada🇨🇦 #WorldCup2022 https://t.co/Jr5BEYerUf,io.bootify.twitter_data_base.domain.Tweet
20090,2022-11-20 23:29:09+00:00,12,Twitter for Android,"A little over $13000 in transactions one day since we launched our #Web3 fantasy management platform https://t.co/DGGWG92U45 Probably users keep falling for the design of our logo provided by @logologydesign by @dagorenouf 😊
#crypto #blokchain #p2e #WorldCup2022",io.bootify.twitter_data_base.domain.Tweet
20091,2022-11-20 23:28:40+00:00,0,Twitter for iPhone,USA &amp; England &amp; Netherlands all play tomorrow #WorldCup2022,io.bootify.twitter_data_base.domain.Tweet
20092,2022-11-20 23:28:27+00:00,0,Twitter Web App,"I don't think Nahuel Molina is that great, but besides him, I'm excited to see what #Argentina can do in the #WorldCup2022",io.bootify.twitter_data_base.domain.Tweet
20093,2022-11-20 23:28:24+00:00,1,Twitter for iPhone,I didn’t know jungkook was about to perform today. When I saw him on live I was shocked 😭🤣🤣 #WorldCup #Qatar2022 #WorldCup2022 #JUNGKOOKxFIFA #FIFAWorldCup2022,io.bootify.twitter_data_base.domain.Tweet
20094,2022-11-20 23:27:53+00:00,0,Twitter Web App,"Efootball 2023 - ao vivo na Twitch Brasil - 

https://t.co/ulPgVzb9DL

#CopadoMundo - #WorldCup2022 - #eFootball2023",io.bootify.twitter_data_base.domain.Tweet
20095,2022-11-20 23:27:13+00:00,0,Twitter Web App,"@GBNEWS The complete unsuitability of #Qatar to host #WorldCup2022 is only part of the problem. There are also unaswered questions as to why it was awarded to them and following the removal of the profoundly suspect Blatter, why the current leadership allowed it to continue.",io.bootify.twitter_data_base.domain.Tweet
20096,2022-11-20 23:26:58+00:00,2,Twitter for iPhone,"The AFCON 2019 opening ceremony in Egypt was better than that of the 2022 World Cup in Qatar.
The Pharaohs’ Golden Parade seemed it emerged from the time of Ancient Egypt to modernity.
Qatar has no identity, despite all the budget spent.

#Egypt #WorldCup #WorldCup2022 #Qatar2022 https://t.co/m1oTAbaUcT",io.bootify.twitter_data_base.domain.Tweet
20097,2022-11-20 23:26:24+00:00,0,Twitter for Android,"Fireworks at the FIFA World Cup Qatar 2022 opening ceremony.

#FIFAWorldCupQatar2022 #FIFAWorldCup2022 #WorldCup2022 #Qatar2022 https://t.co/tU7Ncxz1tR",io.bootify.twitter_data_base.domain.Tweet
20098,2022-11-20 23:26:19+00:00,0,Twitter Web App,"@TheSun I thought we were a ''union of Equals'' ?
You have over 20 articles on England and nothing on Wales. you cover Wales too so why is not getting the same #WorldCup2022 coverage? Looks like they are being deliberately excluded. @WalesFootieFans",io.bootify.twitter_data_base.domain.Tweet
20099,2022-11-20 23:26:13+00:00,20,Twitter for iPhone,Ehh why not went and got the 2022 #cro since the #WorldCup2022 started today #cro #crofam #Qatar2022 https://t.co/54oRsv76zH,io.bootify.twitter_data_base.domain.Tweet
